URL,url_unique,Paragraph,Lesson_Number,Lesson_Date,Submitting_Organization
https://llis.nasa.gov/lesson/1,2,"prelaunch check shuttle orbiter ov-104 flight sts-36 , ac2 bus phase voltage fluctuated 112 122v one minute . inverter supplying bus removed replaced . vendor ' inspection failed inverter found loose mounting screw electrical bus internal inverter , caused voltage fluctuation . identical problem previously discovered prompted change manufacturing procedure include specified torque mounting screw . failed flight unit reworked , manufacturing procedural change incorporated rework process .",1,1991-04-09,jsc
https://llis.nasa.gov/lesson/1,2,recurrence control prevent original manufacturing defect expanded address item already deployed field including reprocessed reworked .,1,1991-04-09,jsc
https://llis.nasa.gov/lesson/1,2,ensure process modification considered implementation unit previously distributed deployed - unit processed process modified .,1,1991-04-09,jsc
https://llis.nasa.gov/lesson/10,3,"shuttle orbiter general purpose computer ( gpc ) input output port ( iop ) no.2 voted set computer . computer exchanged computer connected iop no.2 also malfunctioned , indicating problem iop . pin solder joint found fractured . unit repaired without investigating cause joint failure . rework procedure revised require investigation cause failure attempt repair failed component .",10,1991-06-17,jsc
https://llis.nasa.gov/lesson/10,3,repairing failed component ( gpc iop soldered pin ) investigating cause failure destroy evidence important investigation . reduces probability implementing effective recurrence control .,10,1991-06-17,jsc
https://llis.nasa.gov/lesson/10,3,rework procedure changed provide inspection failed part attempting repair .,10,1991-06-17,jsc
https://llis.nasa.gov/lesson/100,4,"two employee received caustic electrolyte exposure hand removal two battery container installation et . installation support omi s0008 . immediate cleanup procedure initiated area cordoned . personnel contamination neutralized employee reported medical facility evaluation . battery relocated battery lab . battery new design still qualification testing . four battery activated , two installed srb 's , two et battery maintained ambient temperature time incident .",100,1992-08-07,ksc
https://llis.nasa.gov/lesson/100,4,use battery completed qualification testing caused employee receive caustic electrolyte exposure hand .,100,1992-08-07,ksc
https://llis.nasa.gov/lesson/100,4,institute requirement prevent use battery completed qualification testing .,100,1992-08-07,ksc
https://llis.nasa.gov/lesson/1000,5,leaking reaction control system ( rcs ) thruster valve,1000,1997-02-01,hq
